model_name,model_family,task,split,status,diagnostic_reason,degenerate_experiment,row_count,actual_positive_count,predicted_positive_count,actual_positive_rate,predicted_positive_rate,accuracy,precision,recall,f1,signal_count,signal_rate,precision_among_signaled,top_quantile_count,top_quantile_avg_return_bps,top_quantile_cumulative_return_bps,avg_signal_return_bps,median_signal_return_bps,cumulative_signal_return_bps,signal_hit_rate,signal_return_std_bps,signal_sharpe_like,roc_auc,average_precision,brier_score,mae,rmse,r2,directional_accuracy,pearson_corr,has_signals
combined_funding_spread,rule_based,classification,validation,ok,,False,6576,1.0,3.0,0.00015206812652068127,0.0004562043795620438,0.9993917274939172,0.0,0.0,0.0,3,0.0004562043795620438,0.0,658,-30.18994348584397,-19864.982813685332,-20.852416175044237,-22.475028313358532,-62.55724852513271,0.0,4.398370392671795,-4.74094137451153,1.0,1.0,,,,,,,True
funding_threshold_2bps,rule_based,classification,validation,ok,,False,6576,1.0,9.0,0.00015206812652068127,0.0013686131386861315,0.9984793187347932,0.0,0.0,0.0,9,0.0013686131386861315,0.0,658,-31.883063640626276,-20979.05587553209,-26.204587340926327,-28.259721707855483,-235.84128606833696,0.0,4.4849539919426205,-5.842777292254012,0.4611406844106464,0.00015405946695424435,,,,,,,True
logistic_l1,linear,classification,validation,ok,,False,6576,1.0,15.0,0.00015206812652068127,0.002281021897810219,0.9975669099756691,0.0,0.0,0.0,15,0.002281021897810219,0.0,658,-31.491181589094662,-20721.19748562429,-26.28024931685809,-29.441331662489823,-394.20373975287134,0.0,6.312252234184365,-4.163371225017893,0.09292775665399244,0.00016764459346186087,0.002178980065407463,,,,,,True
spread_zscore_1p5,rule_based,classification,validation,ok,,False,6576,1.0,216.0,0.00015206812652068127,0.032846715328467155,0.9673053527980535,0.004629629629629629,1.0,0.009216589861751152,216,0.032846715328467155,0.004629629629629629,658,-30.224343911570884,-19887.61829381364,-29.3300237594414,-30.052888643602582,-6335.285132039342,0.004629629629629629,4.269784774590087,-6.8692042591905995,1.0,1.0,,,,,,,True
spread_zscore_1p5,rule_based,classification,test,ok,,False,8822,0.0,237.0,0.0,0.026864656540467016,0.973135343459533,0.0,0.0,0.0,237,0.026864656540467016,0.0,883,-31.76003752778069,-28044.11313703035,-30.956485758595292,-31.31612670384066,-7336.687124787084,0.0,1.9932516249637713,-15.530646191826357,,,,,,,,,True
elastic_net_regression,linear,regression,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,,,,0.0,,,,,0,0.0,,658,-28.559767641380702,-18792.3271080285,,,,,,,,,,1.4606601933369396,2.0051826247366904,0.4239218829829605,0.9998479318734793,0.6861225442170128,False
ridge_regression,linear,regression,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,,,,0.0,,,,,0,0.0,,658,-28.624114470361697,-18834.667321497996,,,,,,,,,,1.822290637203482,2.356129853744345,0.20462496169817268,0.9998479318734793,0.6437384335216804,False
elastic_net_regression,linear,regression,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,,,,0.0,,,,,0,0.0,,883,-31.522490223108534,-27834.358867004834,,,,,,,,,,0.9800337364608396,1.269334292638942,0.347017668877569,1.0,0.6772883477693387,False
ridge_regression,linear,regression,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,,,,0.0,,,,,0,0.0,,883,-31.872288506784752,-28143.230751490937,,,,,,,,,,1.888612632964386,2.202429286767747,-0.9658634601481795,1.0,0.5381508704034957,False
logistic_regression,linear,classification,validation,no_tradable_signals,signal_count == 0 for split 'validation'.,True,6576,1.0,0.0,0.00015206812652068127,0.0,0.9998479318734793,0.0,0.0,0.0,0,0.0,,658,-31.512829090693348,-20735.441541676224,,,,,,,0.1884410646387833,0.00018737118231216038,0.00015227803541029787,,,,,,False
combined_funding_spread,rule_based,classification,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,883,-31.738180609905996,-28024.813478546996,,,,,,,,,,,,,,,False
logistic_regression,linear,classification,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,883,-33.248451450954974,-29358.382631193243,,,,,,,,,,,,,,,False
funding_threshold_2bps,rule_based,classification,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,883,-33.37954110961144,-29474.134799786898,,,,,,,,,,,,,,,False
logistic_l1,linear,classification,test,no_tradable_signals,signal_count == 0 for split 'test'.,True,8822,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,,883,-34.063289375203894,-30077.884518305036,,,,,,,,,,,,,,,False
